SR.NO,Country,Active military,Reserve military,Paramilitary_x,Total_x,"Per 1,000 capita(active)","Per 1,000 capita(total)",Code,Type,Indicator Name,1960_x,1961_x,1962_x,1963_x,1964_x,1965_x,1966_x,1967_x,1968_x,1969_x,1970_x,1971_x,1972_x,1973_x,1974_x,1975_x,1976_x,1977_x,1978_x,1979_x,1980_x,1981_x,1982_x,1983_x,1984_x,1985_x,1986_x,1987_x,1988_x,1989_x,1990_x,1991_x,1992_x,1993_x,1994_x,1995_x,1996_x,1997_x,1998_x,1999_x,2000_x,2001_x,2002_x,2003_x,2004_x,2005_x,2006_x,2007_x,2008_x,2009_x,2010_x,2011_x,2012_x,2013_x,2014_x,2015_x,2016_x,2017_x,2018_x,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960_y,1961_y,1962_y,1963_y,1964_y,1965_y,1966_y,1967_y,1968_y,1969_y,1970_y,1971_y,1972_y,1973_y,1974_y,1975_y,1976_y,1977_y,1978_y,1979_y,1980_y,1981_y,1982_y,1983_y,1984_y,1985_y,1986_y,1987_y,1988_y,1989_y,1990_y,1991_y,1992_y,1993_y,1994_y,1995_y,1996_y,1997_y,1998_y,1999_y,2000_y,2001_y,2002_y,2003_y,2004_y,2005_y,2006_y,2007_y,2008_y,2009_y,2010_y,2011_y,2012_y,2013_y,2014_y,2015_y,2016_y,2017_y,2018_y,2019,2020,Total_y,country_code,Active Personnel,Aircraft Carriers,Armored Vehicles,Attack Helicopters,Available Manpower,Coastline Coverage,Corvettes,Dedicated Attack,Defense Budget,Destroyers,External Debt,Fighters/Interceptors,Fit-for-Service,Foreign Exchange/Gold,Frigates,Helicopter Carriers,Helicopters,Labor Force,Merchant Marine Fleet,Mine Warfare,Navy Ships,Oil Consumption,Oil Production,Oil Proven Reserves,Paramilitary_y,Patrol Vessels,Ports / Trade Terminals,Purchasing Power Parity,Railway Coverage,Reaching Mil Age Annually,Reserve Personnel,Roadway Coverage,Rocket Projectors,Self-Propelled Artillery,Shared Borders,Special-Mission,Square Land Area,Submarines,Tanker Fleet,Tanks,Total Aircraft Strength,Total Population,Towed Artillery,Trainers,Transports,Waterways (usable)
,ANC (South Africa)*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,Afghanistan,250000.0,75000.0,170000.0,495000.0,7.2,14.2,AFG,Country,Military expenditure (current USD),,,,,,,,,,,2939585.501,,,3341271.551,3581366.351,4203664.569,5393251.216,6127288.063,,,,,,,,,,,,,,,,,,,,,,,,,,,125111557.5,122727193.1,131346231.3,219580214.3,240532594.6,251869514.8,298146852.5,325807003.7,238583385.4,217194107.1,268227074.2,199518614.8,185878310.1,191407113.2,198086263.3,,,,,,4.0,7.0,89.0,254.0,405.0,40.0,56.0,64.0,40.0,56.0,91.0,198.0,230.0,145.0,92.0,9.0,149.0,124.0,,,90.0,230.0,80.0,287.0,360.0,352.0,382.0,294.0,236.0,368.0,153.0,287.0,561.0,1046.0,2152.0,1871.0,1411.0,,,,,,,,,,,34.0,,,35.0,3.0,41.0,150.0,344.0,377.0,661.0,523.0,235.0,288.0,116.0,174.0,252.0,322.0,396.0,240.0,16403.0,AFG,0.0,0.0,530.0,0.0,14611901.0,0.0,0.0,0.0,99050000.0,0.0,284000000.0,0.0,8242611.0,5000000000.0,0.0,0.0,0.0,8478000.0,0.0,0.0,0.0,35000.0,0.0,0.0,60000.0,0.0,2.0,36000000000.0,0.0,786795.0,0.0,34903.0,13.0,0.0,5987.0,0.0,652230.0,0.0,0.0,0.0,0.0,37466414.0,60.0,0.0,0.0,1200.0
,African Union**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.0,9.0,,10.0,,,,,2.0,,2.0,,,0.0,2.0,,78.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.0,Albania,8000.0,0.0,0.0,8000.0,2.6,2.6,ALB,Country,Military expenditure (current USD),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31559657.48,39289843.43,49649504.93,50907521.78,45713356.11,29825492.0,33638047.44,42784205.21,45362503.39,53232045.16,58649352.5,76142881.76,100922358.4,110140852.7,140983900.7,194840309.2,255677957.8,182736862.5,185893242.0,197006789.2,183204695.7,180015508.8,178120368.0,132350667.6,130853162.6,144382688.7,180488725.1,20.0,10.0,11.0,20.0,22.0,132.0,98.0,42.0,47.0,129.0,57.0,74.0,42.0,12.0,8.0,140.0,74.0,163.0,265.0,297.0,250.0,332.0,134.0,104.0,134.0,53.0,5.0,7.0,5.0,,,,,,,,,,,,,,,,,26.0,,,,,,,,2.0,,7.0,,5.0,,,,,15.0,7.0,7.0,7.0,,2.0,3.0,5.0,1.0,2771.0,ALB,8000.0,0.0,76.0,0.0,1513309.0,362.0,0.0,0.0,192400000.0,0.0,9311000000.0,19.0,1284768.0,400000000.0,0.0,0.0,19.0,1104000.0,70.0,0.0,19.0,29000.0,14000.0,168300000.0,500.0,19.0,4.0,38000000000.0,677.0,61768.0,0.0,3945.0,0.0,0.0,691.0,0.0,28748.0,0.0,0.0,0.0,19.0,3088385.0,0.0,0.0,0.0,41.0
3.0,Algeria,130000.0,150000.0,187200.0,467200.0,3.1,11.2,DZA,Country,Military expenditure (current USD),,,,66436300.15,99856999.91,105528391.4,104515642.9,99249350.83,99249350.83,99249350.83,98844251.44,99946261.07,109942841.3,136757097.8,260168630.0,332252159.2,480640373.5,471669448.0,627852442.1,711681247.4,890174464.8,806569334.6,932452707.7,952430671.6,929290821.3,953299653.9,1127103217.0,1196971384.0,1028611425.0,854300945.3,904269155.2,565098062.6,1053301643.0,1276911083.0,1334911648.0,1234655192.0,1452431008.0,1752395278.0,1910962052.0,1826496570.0,1881163649.0,2091627274.0,2100602521.0,2206395762.0,2802224794.0,2924820167.0,3093978245.0,3945815125.0,5172336907.0,5280588156.0,5671309117.0,8652237040.0,9326287144.0,10161588239.0,9724379972.0,10412714003.0,10217081700.0,10073364021.0,9583724288.0,,,,,,,,,,,,7.0,61.0,85.0,177.0,331.0,437.0,524.0,57.0,79.0,14.0,14.0,180.0,110.0,13.0,56.0,132.0,1048.0,1264.0,1823.0,1342.0,1388.0,1357.0,701.0,659.0,368.0,146.0,369.0,320.0,455.0,734.0,1035.0,20.0,20.0,182.0,296.0,83.0,37.0,98.0,370.0,403.0,540.0,248.0,195.0,242.0,159.0,340.0,507.0,1517.0,1070.0,835.0,1133.0,661.0,362.0,710.0,906.0,2911.0,1139.0,1291.0,164.0,661.0,32383.0,ALG,130000.0,0.0,6461.0,45.0,20916812.0,998.0,6.0,22.0,9700000000.0,0.0,5574000000.0,552.0,17779290.0,100000000000.0,5.0,0.0,268.0,10859000.0,114.0,0.0,201.0,405000.0,1260000.0,12200000000.0,200000.0,25.0,12.0,470000000000.0,3973.0,697227.0,135000.0,104000.0,334.0,545.0,6734.0,9.0,2381741.0,6.0,5.0,2196.0,552.0,43576691.0,450.0,87.0,58.0,0.0
,Amal (Lebanon)*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.0,31.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,American Samoa,,,,,,,ASM,Semi Autonomous Region,Military expenditure (current USD),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Andorra,,,,,,,AND,Country,Military expenditure (current USD),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0,Angola,107000.0,0.0,10000.0,117000.0,3.5,3.9,AGO,Country,Military expenditure (current USD),,,,,,,,,,,,,,,,,,,343271609.1,504712881.9,497359449.2,618891637.1,668493883.3,778628250.6,1066247744.0,1146467010.0,1156494418.0,1487398890.0,1469382980.0,1948559396.0,1751153152.0,1031247788.0,794138821.2,1774397877.0,594991178.7,233843714.9,159741933.5,456780475.0,170278292.6,1066588789.0,583621333.6,404299140.0,438686245.4,670021164.4,817533582.2,1365055399.0,1970309115.0,2032432883.0,3163591147.0,3311193245.0,3500794836.0,3639496374.0,4144634851.0,6090751702.0,6841864484.0,3608299115.0,2764054937.0,3062872914.0,1983613748.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,241.0,181.0,105.0,146.0,111.0,153.0,241.0,381.0,574.0,479.0,528.0,703.0,1187.0,965.0,152.0,141.0,,,122.0,111.0,1.0,44.0,7.0,150.0,358.0,147.0,156.0,148.0,48.0,8.0,39.0,7.0,31.0,29.0,20.0,,,,30.0,2.0,47.0,152.0,110.0,272.0,169.0,51.0,8544.0,ANG,107000.0,0.0,1210.0,15.0,6728529.0,1600.0,0.0,18.0,1059270000.0,0.0,42080000000.0,299.0,3364265.0,16995000000.0,0.0,0.0,117.0,12510000.0,54.0,2.0,40.0,130000.0,1600000.0,9523000000.0,10000.0,37.0,6.0,205700000000.0,2852.0,336426.0,0.0,26000.0,118.0,28.0,5369.0,2.0,1246700.0,0.0,0.0,320.0,299.0,33642646.0,585.0,61.0,30.0,1300.0
,Anti-Castro rebels (Cuba)*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
