SR.NO,Country,Active military,Reserve military,Paramilitary_x,Total_x,"Per 1,000 capita(active)","Per 1,000 capita(total)",Code,Type,Indicator Name,1960_x,1961_x,1962_x,1963_x,1964_x,1965_x,1966_x,1967_x,1968_x,1969_x,1970_x,1971_x,1972_x,1973_x,1974_x,1975_x,1976_x,1977_x,1978_x,1979_x,1980_x,1981_x,1982_x,1983_x,1984_x,1985_x,1986_x,1987_x,1988_x,1989_x,1990_x,1991_x,1992_x,1993_x,1994_x,1995_x,1996_x,1997_x,1998_x,1999_x,2000_x,2001_x,2002_x,2003_x,2004_x,2005_x,2006_x,2007_x,2008_x,2009_x,2010_x,2011_x,2012_x,2013_x,2014_x,2015_x,2016_x,2017_x,2018_x,1950_y,1951_y,1952_y,1953_y,1954_y,1955_y,1956_y,1957_y,1958_y,1959_y,1960_y,1961_y,1962_y,1963_y,1964_y,1965_y,1966_y,1967_y,1968_y,1969_y,1970_y,1971_y,1972_y,1973_y,1974_y,1975_y,1976_y,1977_y,1978_y,1979_y,1980_y,1981_y,1982_y,1983_y,1984_y,1985_y,1986_y,1987_y,1988_y,1989_y,1990_y,1991_y,1992_y,1993_y,1994_y,1995_y,1996_y,1997_y,1998_y,1999_y,2000_y,2001_y,2002_y,2003_y,2004_y,2005_y,2006_y,2007_y,2008_y,2009_y,2010_y,2011_y,2012_y,2013_y,2014_y,2015_y,2016_y,2017_y,2018_y,2019,2020,Total_y,country_code,Active Personnel,Aircraft Carriers,Armored Vehicles,Attack Helicopters,Available Manpower,Coastline Coverage,Corvettes,Dedicated Attack,Defense Budget,Destroyers,External Debt,Fighters/Interceptors,Fit-for-Service,Foreign Exchange/Gold,Frigates,Helicopter Carriers,Helicopters,Labor Force,Merchant Marine Fleet,Mine Warfare,Navy Ships,Oil Consumption,Oil Production,Oil Proven Reserves,Paramilitary_y,Patrol Vessels,Ports / Trade Terminals,Purchasing Power Parity,Railway Coverage,Reaching Mil Age Annually,Reserve Personnel,Roadway Coverage,Rocket Projectors,Self-Propelled Artillery,Shared Borders,Special-Mission,Square Land Area,Submarines,Tanker Fleet,Tanks,Total Aircraft Strength,Total Population,Towed Artillery,Trainers,Transports,Waterways (usable)
1,Afghanistan,250000,75000,170000,495000,7.2,14.2,AFG,Country,Military expenditure (current USD),,,,,,,,,,,2939585.501,,,3341271.551,3581366.351,4203664.569,5393251.216,6127288.063,,,,,,,,,,,,,,,,,,,,,,,,,,,125111557.5,122727193.1,131346231.3,219580214.3,240532594.6,251869514.8,298146852.5,325807003.7,238583385.4,217194107.1,268227074.2,199518614.8,185878310.1,191407113.2,198086263.3,,,,,,4,7,89,254,405,40,56,64,40,56,91,198,230,145,92,9,149,124,,,90,230,80,287,360,352,382,294,236,368,153,287,561,1046,2152,1871,1411,,,,,,,,,,,34,,,35,3,41,150,344,377,661,523,235,288,116,174,252,322,396,240,16403,AFG,0,0,530,0,14611901,0,0,0,99050000,0,284000000,0,8242611,5000000000,0,0,0,8478000,0,0,0,35000,0,0,60000,0,2,36000000000,0,786795,0,34903,13,0,5987,0,652230,0,0,0,0,37466414,60,0,0,1200
2,Albania,8000,0,0,8000,2.6,2.6,ALB,Country,Military expenditure (current USD),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31559657.48,39289843.43,49649504.93,50907521.78,45713356.11,29825492,33638047.44,42784205.21,45362503.39,53232045.16,58649352.5,76142881.76,100922358.4,110140852.7,140983900.7,194840309.2,255677957.8,182736862.5,185893242,197006789.2,183204695.7,180015508.8,178120368,132350667.6,130853162.6,144382688.7,180488725.1,20,10,11,20,22,132,98,42,47,129,57,74,42,12,8,140,74,163,265,297,250,332,134,104,134,53,5,7,5,,,,,,,,,,,,,,,,,26,,,,,,,,2,,7,,5,,,,,15,7,7,7,,2,3,5,1,2771,ALB,8000,0,76,0,1513309,362,0,0,192400000,0,9311000000,19,1284768,400000000,0,0,19,1104000,70,0,19,29000,14000,168300000,500,19,4,38000000000,677,61768,0,3945,0,0,691,0,28748,0,0,0,19,3088385,0,0,0,41
3,Algeria,130000,150000,187200,467200,3.1,11.2,DZA,Country,Military expenditure (current USD),,,,66436300.15,99856999.91,105528391.4,104515642.9,99249350.83,99249350.83,99249350.83,98844251.44,99946261.07,109942841.3,136757097.8,260168630,332252159.2,480640373.5,471669448,627852442.1,711681247.4,890174464.8,806569334.6,932452707.7,952430671.6,929290821.3,953299653.9,1127103217,1196971384,1028611425,854300945.3,904269155.2,565098062.6,1053301643,1276911083,1334911648,1234655192,1452431008,1752395278,1910962052,1826496570,1881163649,2091627274,2100602521,2206395762,2802224794,2924820167,3093978245,3945815125,5172336907,5280588156,5671309117,8652237040,9326287144,10161588239,9724379972,10412714003,10217081700,10073364021,9583724288,,,,,,,,,,,,7,61,85,177,331,437,524,57,79,14,14,180,110,13,56,132,1048,1264,1823,1342,1388,1357,701,659,368,146,369,320,455,734,1035,20,20,182,296,83,37,98,370,403,540,248,195,242,159,340,507,1517,1070,835,1133,661,362,710,906,2911,1139,1291,164,661,32383,ALG,130000,0,6461,45,20916812,998,6,22,9700000000,0,5574000000,552,17779290,100000000000,5,0,268,10859000,114,0,201,405000,1260000,12200000000,200000,25,12,470000000000,3973,697227,135000,104000,334,545,6734,9,2381741,6,5,2196,552,43576691,450,87,58,0
,Andorra,,,,,,,AND,Country,Military expenditure (current USD),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Angola,107000,0,10000,117000,3.5,3.9,AGO,Country,Military expenditure (current USD),,,,,,,,,,,,,,,,,,,343271609.1,504712881.9,497359449.2,618891637.1,668493883.3,778628250.6,1066247744,1146467010,1156494418,1487398890,1469382980,1948559396,1751153152,1031247788,794138821.2,1774397877,594991178.7,233843714.9,159741933.5,456780475,170278292.6,1066588789,583621333.6,404299140,438686245.4,670021164.4,817533582.2,1365055399,1970309115,2032432883,3163591147,3311193245,3500794836,3639496374,4144634851,6090751702,6841864484,3608299115,2764054937,3062872914,1983613748,,,,,,,,,,,,,,,,,,,,,,,,,1,241,181,105,146,111,153,241,381,574,479,528,703,1187,965,152,141,,,122,111,1,44,7,150,358,147,156,148,48,8,39,7,31,29,20,,,,30,2,47,152,110,272,169,51,8544,ANG,107000,0,1210,15,6728529,1600,0,18,1059270000,0,42080000000,299,3364265,16995000000,0,0,117,12510000,54,2,40,130000,1600000,9523000000,10000,37,6,205700000000,2852,336426,0,26000,118,28,5369,2,1246700,0,0,320,299,33642646,585,61,30,1300
5,Antigua and Barbuda,180,80,0,260,1.9,2.7,ATG,Country,Military expenditure (current USD),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Argentina,72100,0,31250,103350,1.6,2.3,ARG,Country,Military expenditure (current USD),,,305162407.2,242219771.2,245740498,252407602.9,279225436.3,251930719.1,337142857.1,442857142.9,445713893.9,519719484.2,766000000,1294000000,1626000000,798359535.2,2050248959,2058223942,3103989947,5057062803,6477389013,5882767126,2279872697,2848053181,2527749815,2027221261,2449545721,2485659656,2696341658,1440922190,2050907629,2858778842,3254455192,3368550452,3754724687,3801950488,3379138770,3340670335,3398699350,3461730865,3266633317,3183591796,1114172483,1374873734,1465809188,1699579152,1847553130,2296448242,2788980205,2981852290,3475348407,4051930105,4563217859,5137974301,4979442724,5482616701,4509647660,5459643672,4144991771,75,445,38,4,5,0,39,14,70,161,111,205,48,19,19,7,93,143,430,223,248,369,400,241,450,260,489,192,425,441,440,856,412,1316,730,497,226,226,74,14,169,,27,,209,43,28,105,171,275,213,6,14,11,168,3,9,24,21,15,11,15,5,13,6,21,17,45,18,50,7,12171,ARG,83000,0,800,0,20180574,4989,9,6,3064800000,4,278524000000,218,17153488,45000000000,0,0,85,18000000,202,0,47,806000,490000,2162000000,20000,13,10,900000000000,36917,687974,0,281290,26,75,11968,10,2780400,2,2,349,218,45864941,172,70,22,11000
7,Armenia,44800,210000,4300,259100,14.7,85.3,ARM,Country,Military expenditure (current USD),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9829763.866,,52228583.82,52410268.55,64062121.19,66757573.06,68234148.57,68052142.07,66247626.46,64106405.65,76587998.89,98070488.2,140738102.7,188189116.4,280108688.3,395994365.4,359499343.5,395011507.8,390871433.9,380571678.9,444551859.5,457807021.8,447379807.5,431396218.6,443610413.3,608854649.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,181,47,70,,,2,,,,,118,,,1,,46,52,5,,16,,,110,18,,248,,916,ARM,45000,0,673,20,1686501,0,0,10,632500000,0,11637000000,64,1382329,2200000000,0,0,36,1507000,0,0,0,8000,0,0,4300,0,0,40000000000,780,45174,210000,7700,94,38,1570,0,29743,0,0,288,64,3011609,145,10,2,0
8,Australia,58600,30100,0,88700,2.5,3.8,AUS,Country,Military expenditure (current USD),459760073.6,470960075.4,489440078.3,553280088.5,655760104.9,787360126,986720157.9,1197840192,1321600211,1314880210,1277360204,1331754789,1484443745,1855729307,2127274763,2268707674,2441084025,2500485127,2816316206,3100685079,3657867290,4323644157,4459544582,4511671066,4925319433,4386859326,4606710028,5057135655,5836347868,6300015815,6704213698,7023509067,6882091580,6733829290,7459696582,7665878446,8202776517,7936884917,7107542891,7770250653,7273760313,7043145895,7946766202,9926649415,11995219710,13237798499,14239779513,17186440962,18633092318,18960138513,23217692816,26597198655,26216580848,24825262589,25783708714,24045569111,26382947050,27691112417,26711834225,468,371,410,153,125,637,451,445,534,412,113,40,571,384,548,920,714,778,460,828,240,319,60,704,885,96,81,268,1019,191,404,449,129,631,620,509,815,593,744,694,355,216,364,448,262,64,597,35,542,673,338,1236,663,801,472,461,728,679,444,778,1513,1557,867,245,906,1464,1026,1656,1557,1189,1657,42604,AUS,59000,0,1765,22,10840189,25760,0,37,44618000000,3,3115913000000,430,8878631,60000000000,8,2,133,12568000,581,4,43,1175000,285000,1821000000,0,12,29,1250900000000,33343,283910,20000,873573,0,0,0,31,7741220,6,6,59,430,25809973,54,113,38,2000
9,Austria,22050,125600,0,147650,2.5,16.8,AUT,Country,Military expenditure (current USD),91559097.96,91029854.62,100026991.4,125959915.1,164594679,142895702,167770139,176767275.8,182059709.2,193173819.4,199524739.5,209277606.7,249425547.4,328898821.4,422543505.8,546724394,581408727.3,686893244.3,877450655.2,1049972515,1152895906,969372327.1,995369996.9,991995097.5,949715291.7,1036872489,1475426089,1737112605,1713954577,1623488055,1972701682,1994055546,2139925322,2115115267,2227560550,2557834494,2457903049,2164802343,2159796003,2124379546,1925557398,1788798311,1881746741,2381962769,2679282065,2686166244,2640185362,3499817967,3746731607,3334754940,3218351224,3409721209,3187227449,3229065841,3305159256,2665409782,2885947386,3138359204,3367460383,,,,2,,11,98,146,11,24,16,27,56,201,73,78,61,47,1,12,99,123,93,22,22,6,12,,8,72,195,73,97,145,14,29,19,7,117,84,5,6,5,9,40,24,10,182,228,48,25,15,83,43,57,25,4,269,190,286,7,8,8,6,2,1,13,8,5,15,13,3737,AST,23000,0,542,0,3998189,0,0,0,3432000000,0,688434000000,102,3598370,22000000000,0,0,63,3739000,0,0,0,268000,13000,41200000,0,0,4,465100000000,5800,97734,160000,137039,0,62,2524,0,83871,0,0,56,102,8884864,0,13,11,0
